f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
6496,-0.315569,-0.013368,0.113071,-0.397424,-0.087003,0.107884,-0.258943,-0.117927,0.09845,-0.15371,-0.122849,0.0181,-0.30725,-0.033149,0.043229,-0.379807,-0.109391,0.049072,-0.234696,-0.113158,0.047113,-0.136401,-0.095258,-0.050359,-0.281968,-0.054524,-0.019828,-0.320843,-0.111468,-0.008568,-0.218588,-0.112891,-0.004884,-0.14563,-0.099555,A
0.0,0.0,-0.0,0.116085,-0.061071,-0.025019,0.18779,-0.205076,-0.033183,0.208111,-0.338092,-0.045638,0.230959,-0.434191,-0.053877,0.159847,-0.308497,0.002328,0.177217,-0.392721,-0.061463,0.165684,-0.298847,-0.104252,0.154962,-0.20649,-0.123066,0.086999,-0.317413,-0.00952,0.110745,-0.401061,-0.085617,0.107799,-0.262757,-0.119172,0.099102,-0.157193,-0.125108,0.018511,-0.308273,-0.030095,0.041087,-0.380792,-0.108782,0.04963,-0.234835,-0.114726,0.048808,-0.136417,-0.097312,-0.050388,-0.283261,-0.052266,-0.019977,-0.321174,-0.110562,-0.007843,-0.219791,-0.113235,-0.004026,-0.147516,-0.100264,A
0.0,0.0,-0.0,0.112282,-0.059159,-0.026095,0.183012,-0.201625,-0.035408,0.203594,-0.335667,-0.048585,0.226969,-0.432531,-0.057726,0.155092,-0.308193,-0.003663,0.173842,-0.39151,-0.065815,0.161869,-0.295968,-0.105977,0.151298,-0.203436,-0.123302,0.082593,-0.315879,-0.01485,0.107014,-0.398378,-0.089164,0.103992,-0.259232,-0.119581,0.096261,-0.152802,-0.123997,0.014594,-0.306121,-0.034448,0.038841,-0.375548,-0.112068,0.046025,-0.229619,-0.116102,0.044335,-0.130377,-0.097952,-0.05362,-0.280764,-0.055649,-0.02303,-0.319382,-0.113907,-0.011539,-0.21654,-0.115819,-0.008338,-0.142762,-0.102572,A
0.0,0.0,-0.0,0.115998,-0.06003,-0.024557,0.186699,-0.203149,-0.033454,0.206041,-0.337666,-0.046679,0.22772,-0.434158,-0.055906,0.159459,-0.306439,0.000247,0.176764,-0.391951,-0.062502,0.1645,-0.299672,-0.104319,0.152999,-0.20838,-0.122884,0.086874,-0.315085,-0.011823,0.110835,-0.397316,-0.086686,0.107145,-0.259127,-0.118907,0.097492,-0.153689,-0.124652,0.018914,-0.306726,-0.032377,0.042643,-0.379161,-0.109832,0.049229,-0.233303,-0.114231,0.046346,-0.134497,-0.096507,-0.049919,-0.282871,-0.054539,-0.019189,-0.32219,-0.112546,-0.008301,-0.21996,-0.114537,-0.005738,-0.147074,-0.101454,A
0.0,0.0,-0.0,0.117894,-0.063099,-0.024088,0.188117,-0.207159,-0.032426,0.207469,-0.34234,-0.045545,0.228261,-0.439071,-0.054566,0.159623,-0.311295,0.003344,0.176946,-0.396758,-0.062257,0.165274,-0.3036,-0.106666,0.154008,-0.211256,-0.126402,0.086703,-0.318856,-0.009508,0.110015,-0.402431,-0.088259,0.10718,-0.262133,-0.123059,0.097792,-0.155119,-0.129428,0.018806,-0.309529,-0.031215,0.040963,-0.382305,-0.112204,0.049241,-0.234872,-0.118062,0.047501,-0.135776,-0.100105,-0.050159,-0.285358,-0.054474,-0.019733,-0.32482,-0.114557,-0.008537,-0.222199,-0.11719,-0.00568,-0.149311,-0.103859,A
0.0,0.0,-0.0,0.114431,-0.059689,-0.024932,0.185492,-0.203558,-0.033127,0.205697,-0.336692,-0.045598,0.228107,-0.432582,-0.053871,0.159033,-0.306339,0.000999,0.175473,-0.392485,-0.063211,0.162893,-0.298441,-0.105548,0.151707,-0.206329,-0.123779,0.086386,-0.315134,-0.010879,0.108865,-0.401308,-0.087675,0.105647,-0.263071,-0.12074,0.097199,-0.157821,-0.125907,0.018119,-0.306116,-0.031427,0.039448,-0.380279,-0.11065,0.047596,-0.234095,-0.116127,0.047049,-0.135997,-0.098058,-0.050583,-0.281551,-0.053509,-0.02101,-0.321133,-0.112243,-0.008669,-0.219124,-0.114864,-0.004308,-0.146193,-0.10157,A
0.0,0.0,-0.0,0.112705,-0.059161,-0.023892,0.182234,-0.201138,-0.032423,0.200354,-0.335783,-0.045272,0.223824,-0.430246,-0.054234,0.155589,-0.30594,0.000324,0.172767,-0.391208,-0.061473,0.161294,-0.298594,-0.102313,0.150569,-0.20732,-0.120187,0.083108,-0.313909,-0.011646,0.106674,-0.397638,-0.085063,0.103466,-0.259427,-0.116294,0.094601,-0.15428,-0.121393,0.015296,-0.304905,-0.031909,0.038535,-0.378403,-0.108259,0.045955,-0.232606,-0.11218,0.044232,-0.134055,-0.094288,-0.053331,-0.279682,-0.053659,-0.023199,-0.320689,-0.111057,-0.011611,-0.218159,-0.112684,-0.008314,-0.144936,-0.099359,A
0.0,0.0,-0.0,0.113742,-0.055916,-0.024523,0.184993,-0.198825,-0.033158,0.201902,-0.335298,-0.045865,0.22152,-0.430385,-0.05456,0.156536,-0.304725,-0.000954,0.171247,-0.389368,-0.062694,0.159862,-0.29521,-0.10362,0.149513,-0.203559,-0.121783,0.083617,-0.31203,-0.012594,0.105137,-0.395448,-0.085805,0.103634,-0.258768,-0.117184,0.095099,-0.155315,-0.122786,0.015448,-0.303096,-0.032448,0.037086,-0.376729,-0.108276,0.046078,-0.232093,-0.11238,0.044743,-0.134278,-0.094954,-0.053094,-0.278827,-0.053894,-0.022888,-0.31895,-0.1109,-0.010437,-0.216896,-0.112844,-0.006686,-0.144191,-0.10001,A
0.0,0.0,-0.0,0.115356,-0.058296,-0.02542,0.185713,-0.200646,-0.034119,0.202972,-0.33513,-0.047243,0.219763,-0.431412,-0.056381,0.155167,-0.30378,0.000539,0.171479,-0.386614,-0.065166,0.161147,-0.293184,-0.109487,0.151181,-0.200933,-0.12923,0.083115,-0.311195,-0.011657,0.105794,-0.393859,-0.089669,0.105375,-0.258776,-0.124774,0.097612,-0.154623,-0.131628,0.015412,-0.301727,-0.032573,0.037626,-0.374076,-0.112736,0.047066,-0.230379,-0.119165,0.046562,-0.132643,-0.101733,-0.052739,-0.277192,-0.055172,-0.02277,-0.314482,-0.11482,-0.00904,-0.214308,-0.118262,-0.003474,-0.142238,-0.105589,A
0.0,0.0,-0.0,0.1103,-0.072411,-0.021979,0.168622,-0.215574,-0.02976,0.176056,-0.347801,-0.042797,0.187029,-0.441231,-0.052205,0.133996,-0.312303,0.007815,0.143664,-0.402226,-0.055399,0.14123,-0.315479,-0.099475,0.136597,-0.225015,-0.119415,0.065047,-0.311803,-0.005423,0.080617,-0.400935,-0.081051,0.089737,-0.270536,-0.117351,0.088018,-0.167982,-0.125499,0.00046,-0.296344,-0.02725,0.016206,-0.376248,-0.105072,0.036392,-0.238,-0.113491,0.042553,-0.142922,-0.098091,-0.065399,-0.265467,-0.050464,-0.038934,-0.311521,-0.108386,-0.019378,-0.214809,-0.112544,-0.00993,-0.144141,-0.100953,A
